xmin,xmax,ymin,ymax,zmin,zmax
4.88,5,-5,5,-1.5,1.5
-5,-4.88,-5,5,-1.5,1.5
-5,5,4.88,5,-1.5,1.5
-5,5,-5,-4.88,-1.5,1.5
-0.06,0.06,0,1.9,-1.5,1.5
-0.06,0.06,3.1,5,-1.5,1.5
-0.06,0.06,-5,-2.8,-1.5,1.5
-0.06,0.06,-2.2,0,-1.5,1.5
-5,-2.95,-0.06,0.06,-1.5,1.5
-2.05,0,-0.06,0.06,-1.5,1.5
0,2.25,-0.06,0.06,-1.5,1.5
2.75,5,-0.06,0.06,-1.5,1.5
-2.52685,-2.02685,1.10077,1.60077,-1.5,1.1
-0.829866,-0.329866,3.37182,3.87182,-1.5,1.1
0.457442,0.957442,0.673571,1.17357,-1.5,1.1
0.528367,1.02837,2.64931,3.14931,-1.5,1.1
3.56712,4.06712,3.37359,3.87359,-1.5,1.1
1.92806,2.42806,0.870395,1.3704,-1.5,1.1
1.36247,1.86247,2.49683,2.99683,-1.5,1.1
0.645591,1.14559,3.09906,3.59906,-1.5,1.1
-0.814116,-0.314116,-1.01076,-0.510756,-1.5,1.1
-1.1582,-0.658196,-1.34762,-0.847618,-1.5,1.1
-1.00417,-0.504173,-3.95586,-3.45586,-1.5,1.1
-0.922423,-0.422423,-1.38846,-0.88846,-1.5,1.1
1.08187,1.58187,-1.2128,-0.712795,-1.5,1.1
1.29671,1.79671,-2.4877,-1.9877,-1.5,1.1
1.36882,1.86882,-3.99766,-3.49766,-1.5,1.1
2.04151,2.54151,-3.62228,-3.12228,-1.5,1.1
1.28838,1.78838,-1.12969,-0.629687,-1.5,1.1
2.09004,2.59004,-1.16035,-0.660347,-1.5,1.1
2.43804,2.93804,-3.65316,-3.15316,-1.5,1.1
4.03985,4.53985,-2.92569,-2.42569,-1.5,1.1
