x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.77373,2.25522,-0.491195
2.5,2.5,-0.3
2.5,2.5,-0.3
2.62561,1.44214,-0.824977
2.63403,1.32083,-0.831849
2.62965,0.846724,-0.918186
2.54639,0.198397,-1.1544
2.53433,-0.132583,-1.2787
2.72698,-0.483781,-1.17665
2.87221,-0.785821,-1.08611
2.88662,-0.871287,-1.05689
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.04552,-2.6529,-0.30446
1.67518,-2.71239,-0.308922
1.14173,-2.6742,-0.297933
0.776285,-2.64338,-0.2896
-0.777916,-2.54662,-0.274243
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.74456,0.271304,-0.0524374
-4,4,-0.3
