x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.44235,2.28805,-0.518052
1.88473,2.29477,-0.457684
1.91565,2.30323,-0.450837
2.5,2.5,-0.3
2.5,2.5,-0.3
2.41034,2.33734,-0.446419
-0.486132,2.11146,-0.747019
-2.46956,0.12826,-1.1133
-1.30482,-1.50488,-0.472322
-0.214841,-2.38437,-0.0703594
1.15446,-2.82347,-0.509754
1.94008,-2.66448,-0.446064
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.08373,-2.69035,-0.66136
1.28807,-2.69379,-0.829179
0.448651,-2.56864,-0.60418
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.37465,-0.122469,-0.822017
-4,4,-0.3
