x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-1.89315,2.4193,-0.504325
1.8273,2.27536,-0.720173
1.96775,2.32226,-0.632446
2.5,2.5,-0.3
2.5,2.5,-0.3
2.36709,2.28577,-0.201842
-0.207925,2.09749,-0.873601
-2.51125,0.00415667,-1.21568
-1.49484,-1.28284,-1.06607
-0.791216,-2.02422,-1.01703
-0.180046,-2.36268,-1.05412
0.0448409,-2.47512,-1.06921
1.3686,-2.83182,-1.19427
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.87481,-2.68969,-0.262116
1.6423,-2.73295,-0.249695
-0.0659555,-2.58847,-0.211636
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.75737,0.158776,0.209088
-4,4,-0.3
