xmin,xmax,ymin,ymax,zmin,zmax
4.88,5,-5,5,-1.5,1.5
-5,-4.88,-5,5,-1.5,1.5
-5,5,4.88,5,-1.5,1.5
-5,5,-5,-4.88,-1.5,1.5
-0.06,0.06,0,1.9,-1.5,1.5
-0.06,0.06,3.1,5,-1.5,1.5
-0.06,0.06,-5,-2.8,-1.5,1.5
-0.06,0.06,-2.2,0,-1.5,1.5
-5,-2.95,-0.06,0.06,-1.5,1.5
-2.05,0,-0.06,0.06,-1.5,1.5
0,2.25,-0.06,0.06,-1.5,1.5
2.75,5,-0.06,0.06,-1.5,1.5
-1.57569,-1.07569,0.996402,1.4964,-1.5,1.1
-1.64242,-1.14242,2.63353,3.13353,-1.5,1.1
2.0355,2.5355,0.665901,1.1659,-1.5,1.1
2.08863,2.58863,1.59149,2.09149,-1.5,1.1
0.835753,1.33575,2.84752,3.34752,-1.5,1.1
0.49339,0.99339,3.12912,3.62912,-1.5,1.1
3.98667,4.48667,0.273084,0.773084,-1.5,1.1
4.19916,4.69916,2.71523,3.21523,-1.5,1.1
-2.30785,-1.80785,-4.70202,-4.20202,-1.5,1.1
-4.63867,-4.13867,-2.65189,-2.15189,-1.5,1.1
-3.14655,-2.64655,-4.5452,-4.0452,-1.5,1.1
-0.873928,-0.373928,-3.80823,-3.30823,-1.5,1.1
0.628801,1.1288,-2.28119,-1.78119,-1.5,1.1
1.78455,2.28455,-0.836406,-0.336406,-1.5,1.1
2.11838,2.61838,-1.32464,-0.824636,-1.5,1.1
2.96402,3.46402,-2.94602,-2.44602,-1.5,1.1
0.322529,0.822529,-0.998881,-0.498881,-1.5,1.1
2.50062,3.00062,-3.20375,-2.70375,-1.5,1.1
0.333226,0.833226,-3.81566,-3.31566,-1.5,1.1
1.22446,1.72446,-2.02428,-1.52428,-1.5,1.1
