xmin,xmax,ymin,ymax,zmin,zmax
4.88,5,-5,5,-1.5,1.5
-5,-4.88,-5,5,-1.5,1.5
-5,5,4.88,5,-1.5,1.5
-5,5,-5,-4.88,-1.5,1.5
-0.06,0.06,0,1.9,-1.5,1.5
-0.06,0.06,3.1,5,-1.5,1.5
-0.06,0.06,-5,-2.8,-1.5,1.5
-0.06,0.06,-2.2,0,-1.5,1.5
-5,-2.95,-0.06,0.06,-1.5,1.5
-2.05,0,-0.06,0.06,-1.5,1.5
0,2.25,-0.06,0.06,-1.5,1.5
2.75,5,-0.06,0.06,-1.5,1.5
-1.30079,-0.800785,3.7252,4.2252,-1.5,1.1
-1.61717,-1.11717,3.96362,4.46362,-1.5,1.1
3.66045,4.16045,3.70969,4.20969,-1.5,1.1
2.77715,3.27715,3.1607,3.6607,-1.5,1.1
1.06123,1.56123,3.80039,4.30039,-1.5,1.1
3.2006,3.7006,0.917675,1.41768,-1.5,1.1
0.336076,0.836076,3.56468,4.06468,-1.5,1.1
1.34399,1.84399,2.30589,2.80589,-1.5,1.1
-2.48712,-1.98712,-1.74403,-1.24403,-1.5,1.1
-4.18934,-3.68934,-4.0439,-3.5439,-1.5,1.1
-3.89743,-3.39743,-3.23548,-2.73548,-1.5,1.1
-4.3174,-3.8174,-1.98272,-1.48272,-1.5,1.1
3.06117,3.56117,-1.03139,-0.531388,-1.5,1.1
1.00899,1.50899,-3.62195,-3.12195,-1.5,1.1
1.47682,1.97682,-1.97654,-1.47654,-1.5,1.1
0.572256,1.07226,-3.04626,-2.54626,-1.5,1.1
0.403314,0.903314,-4.52732,-4.02732,-1.5,1.1
3.59632,4.09632,-3.00775,-2.50775,-1.5,1.1
0.936941,1.43694,-4.66831,-4.16831,-1.5,1.1
3.12383,3.62383,-2.05924,-1.55924,-1.5,1.1
