x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.69637,2.2694,-0.914418
1.93421,2.30995,-0.772568
2.5,2.5,-0.3
2.5,2.5,-0.3
2.6242,1.55715,-0.469743
2.62922,1.3166,-0.510786
2.63425,0.8803,-0.584885
2.5393,0.0129109,-0.896839
2.54086,-0.0735365,-0.93031
2.55953,-0.144861,-0.950698
2.78079,-0.428591,-0.92606
2.80695,-1.06617,-0.681894
2.80097,-1.11858,-0.66517
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.89166,-2.68493,0.0540866
1.79003,-2.69686,0.105321
1.24894,-2.68711,0.336782
-0.0600131,-2.58008,0.803619
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.64547,-0.324358,-0.713454
-2.83384,0.406394,-0.825738
-4,4,-0.3
