x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.62493,2.90075,-0.124543
1.92031,2.85281,-0.154679
2.5,2.5,-0.3
2.5,2.5,-0.3
2.54251,2.28002,-0.331315
2.44541,-0.124947,-1.13213
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.01406,-2.46948,-0.302957
0.892875,-2.50856,-0.319126
-0.665486,-2.63955,-0.397309
-1.86336,-2.63452,-0.451892
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-3.01246,-1.85266,-0.17816
-3.09514,-1.33379,-0.180517
-3.05582,-1.01645,-0.209359
-2.73388,-0.23508,-0.441407
-2.77983,0.533278,-0.436807
-3.126,1.85548,-0.408537
-4,4,-0.3
