x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.7346,2.27331,-0.692627
1.89089,2.29594,-0.621783
2.08849,2.35803,-0.519015
2.5,2.5,-0.3
2.5,2.5,-0.3
1.87738,2.24829,-0.665842
-0.690767,2.05453,-0.540838
-2.54834,0.17311,0.164625
-1.18903,-1.65061,0.318487
-0.438138,-2.29441,0.325699
0.0824097,-2.45694,0.229575
1.67441,-2.77865,-0.157517
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.21139,-2.38314,1.08186
1.7314,-2.24606,1.39171
1.18358,-2.30426,1.28669
-0.155932,-2.44135,0.811465
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.50716,-0.0546787,0.437659
-4,4,-0.3
