x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.82674,2.26702,-0.27397
2.5,2.5,-0.3
2.5,2.5,-0.3
2.66933,1.4699,-0.440502
2.62405,0.77293,-0.483329
2.5275,0.00454321,-0.51531
2.56679,-0.174141,-0.534731
2.74796,-0.507827,-0.592474
2.86028,-0.773237,-0.6216
2.80267,-1.11863,-0.564045
2.77435,-1.25544,-0.538671
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.86692,-2.68162,-0.838101
1.64417,-2.7028,-0.932693
1.1965,-2.70831,-1.00077
0.344228,-2.60743,-0.89399
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.76036,0.180027,-0.222231
-4,4,-0.3
