planner,env_seed,run,seed,obstacle_seed,resample_attempt,termination_mode,time_limit_per_leg,success,solve_time_s,simplify_time_s,total_time_s,total_length_se3,total_length_xyz
RRTConnect,0,0,12345,0,0,first_solution,1.000,1,0.001213,0.000949,0.002162,32.113992,24.863475
PRMstar,0,0,12345,0,0,first_solution,1.000,1,5.007531,0.000611,5.008142,29.144939,24.509716
RRTstar,0,0,12345,0,0,first_solution,1.000,1,5.000829,0.000475,5.001305,28.099785,25.099415
BITstar,0,0,12345,0,0,first_solution,1.000,1,4.042320,0.000784,4.043104,29.452175,24.502970
RRTConnect,0,1,13345,0,0,first_solution,1.000,1,0.000857,0.000840,0.001697,41.217847,31.975564
PRMstar,0,1,13345,0,0,first_solution,1.000,1,5.007088,0.000823,5.007910,29.941691,24.353814
RRTstar,0,1,13345,0,0,first_solution,1.000,1,5.001626,0.000586,5.002212,28.091338,24.622985
BITstar,0,1,13345,0,0,first_solution,1.000,1,4.029093,0.000638,4.029730,27.169904,24.548314
RRTConnect,0,2,14345,0,0,first_solution,1.000,1,0.006254,0.001087,0.007341,47.677745,36.645488
PRMstar,0,2,14345,0,0,first_solution,1.000,1,5.007546,0.000637,5.008183,28.467275,25.017397
RRTstar,0,2,14345,0,0,first_solution,1.000,1,5.001123,0.000558,5.001681,28.070680,24.887783
BITstar,0,2,14345,0,0,first_solution,1.000,1,4.137138,0.000766,4.137904,30.408069,24.617918
RRTConnect,0,3,15345,0,0,first_solution,1.000,1,0.000671,0.001165,0.001835,32.892685,24.774914
PRMstar,0,3,15345,0,0,first_solution,1.000,1,5.007640,0.000597,5.008237,28.320971,24.465348
RRTstar,0,3,15345,0,0,first_solution,1.000,1,5.001032,0.000589,5.001622,27.735496,24.742472
BITstar,0,3,15345,0,0,first_solution,1.000,1,4.002822,0.000744,4.003565,29.160008,24.796452
RRTConnect,0,4,16345,0,0,first_solution,1.000,1,0.001636,0.001088,0.002724,42.599975,33.672750
PRMstar,0,4,16345,0,0,first_solution,1.000,1,5.008412,0.000694,5.009106,29.227699,24.680766
RRTstar,0,4,16345,0,0,first_solution,1.000,1,5.001074,0.000626,5.001700,28.445865,24.730468
BITstar,0,4,16345,0,0,first_solution,1.000,1,4.053796,0.000664,4.054460,27.919340,24.787529
RRTConnect,0,5,17345,0,0,first_solution,1.000,1,0.000674,0.000866,0.001541,33.567304,26.666576
PRMstar,0,5,17345,0,0,first_solution,1.000,1,5.007007,0.000649,5.007656,28.706532,24.588897
RRTstar,0,5,17345,0,0,first_solution,1.000,1,5.001241,0.000632,5.001874,29.032143,24.695107
BITstar,0,5,17345,0,0,first_solution,1.000,1,4.017369,0.000777,4.018145,27.867936,24.431661
RRTConnect,0,6,18345,0,0,first_solution,1.000,1,0.001074,0.000793,0.001868,34.729088,27.716561
PRMstar,0,6,18345,0,0,first_solution,1.000,1,5.007128,0.000636,5.007764,28.683318,24.849569
RRTstar,0,6,18345,0,0,first_solution,1.000,1,5.001055,0.000545,5.001600,27.538955,24.571002
BITstar,0,6,18345,0,0,first_solution,1.000,1,4.037365,0.000632,4.037997,27.941368,24.679271
RRTConnect,0,7,19345,0,0,first_solution,1.000,1,0.001647,0.001113,0.002760,42.715240,32.738806
PRMstar,0,7,19345,0,0,first_solution,1.000,1,5.008108,0.002388,5.010496,28.799221,24.881982
RRTstar,0,7,19345,0,0,first_solution,1.000,1,5.001169,0.000529,5.001698,28.257574,24.632280
BITstar,0,7,19345,0,0,first_solution,1.000,1,4.000392,0.000748,4.001140,30.994523,25.514863
RRTConnect,0,8,20345,0,0,first_solution,1.000,1,0.000956,0.001160,0.002116,50.582617,36.351052
PRMstar,0,8,20345,0,0,first_solution,1.000,1,5.007821,0.000570,5.008391,28.069619,24.376357
RRTstar,0,8,20345,0,0,first_solution,1.000,1,5.000913,0.000602,5.001516,27.639224,24.572260
BITstar,0,8,20345,0,0,first_solution,1.000,1,4.045126,0.000674,4.045800,28.404346,24.469051
RRTConnect,0,9,21345,0,0,first_solution,1.000,1,0.003417,0.000645,0.004062,30.619056,25.411844
PRMstar,0,9,21345,0,0,first_solution,1.000,1,5.007882,0.000756,5.008638,28.995221,24.422434
RRTstar,0,9,21345,0,0,first_solution,1.000,1,5.001098,0.009461,5.010559,28.223422,24.785804
BITstar,0,9,21345,0,0,first_solution,1.000,1,4.001816,0.000843,4.002658,30.019381,24.697567
RRTConnect,0,10,22345,0,0,first_solution,1.000,1,0.000771,0.000899,0.001671,45.169127,36.696329
PRMstar,0,10,22345,0,0,first_solution,1.000,1,5.008023,0.000822,5.008845,28.643393,24.849705
RRTstar,0,10,22345,0,0,first_solution,1.000,1,5.001528,0.000525,5.002053,29.222095,25.165889
BITstar,0,10,22345,0,0,first_solution,1.000,1,4.000396,0.000624,4.001020,27.293014,24.928441
RRTConnect,0,11,23345,0,0,first_solution,1.000,1,0.000892,0.000904,0.001796,34.370425,26.696447
PRMstar,0,11,23345,0,0,first_solution,1.000,1,5.007332,0.000779,5.008112,28.490429,24.707673
RRTstar,0,11,23345,0,0,first_solution,1.000,1,5.001111,0.000601,5.001712,28.557468,24.512788
BITstar,0,11,23345,0,0,first_solution,1.000,1,4.000343,0.000717,4.001060,28.325183,24.700002
RRTConnect,0,12,24345,0,0,first_solution,1.000,1,0.001157,0.000695,0.001852,32.694620,26.758210
PRMstar,0,12,24345,0,0,first_solution,1.000,1,5.007513,0.000592,5.008105,28.900402,25.254759
RRTstar,0,12,24345,0,0,first_solution,1.000,1,5.000886,0.000636,5.001522,28.562717,24.650124
BITstar,0,12,24345,0,0,first_solution,1.000,1,4.000686,0.000629,4.001315,28.679405,25.253011
RRTConnect,0,13,25345,0,0,first_solution,1.000,1,0.000784,0.000954,0.001738,45.063474,34.813025
