x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.20268,2.28705,-0.45292
1.89163,2.29615,-0.400642
2.5,2.5,-0.3
2.5,2.5,-0.3
2.63614,1.46441,-0.794563
2.64859,0.764169,-0.941324
2.52491,-0.0690554,-0.643309
2.76697,-0.515962,-0.393376
2.81104,-0.732873,-0.332432
2.80346,-1.09161,-0.287369
2.77348,-1.29806,-0.27918
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.02343,-2.67209,-0.332001
1.72904,-2.69738,-0.273506
1.41386,-2.70486,-0.192155
-0.26135,-2.53972,-0.0145973
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.64,-0.332444,-0.292278
-2.91607,0.690707,-0.353053
-4,4,-0.3
