x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.80953,2.27179,-0.584197
2.07719,2.34357,-0.480837
2.5,2.5,-0.3
2.5,2.5,-0.3
2.55666,2.21089,-0.20753
2.64272,1.23496,0.0377872
2.64444,1.02662,0.0790321
2.52107,-0.0830323,0.0928053
2.72123,-0.449487,0.108228
2.80797,-0.670612,0.154841
2.84319,-0.922155,0.15891
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.91815,-2.68072,0.205803
1.44455,-2.70725,0.437278
0.0516664,-2.59895,0.507576
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.73653,-0.0377559,-0.501665
-2.77961,0.292704,-0.522855
-4,4,-0.3
