x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.21431,1.95959,-0.858738
1.98527,1.93584,-0.710504
2.5,2.5,-0.3
2.5,2.5,-0.3
1.99908,3.07384,0.0533974
-0.631979,2.39486,-0.129272
-3.1609,-1.14125,-0.0931372
-2.7999,-2.68505,-0.172785
-2.66298,-2.83784,-0.211317
0.901215,-2.50114,0.120074
1.20378,-2.49134,0.0497209
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.20283,-2.49816,-0.2204
-1.8436,-2.66035,-0.0808793
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-1.1776,-2.89414,0.242755
-1.16948,-1.85006,0.186212
-2.24563,-0.155047,-0.315983
-4,4,-0.3
