x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.85386,2.2699,-0.0806165
2.5,2.5,-0.3
2.5,2.5,-0.3
2.51568,2.43187,-0.276775
2.62322,1.5195,-0.0829898
2.63487,1.16019,-0.0418182
2.63644,1.02677,-0.0296839
2.617,0.724165,-0.0284992
2.54491,0.094233,-0.0622136
2.54126,-0.147177,-0.0729056
2.75405,-0.518903,0.0204061
2.78969,-0.62601,0.0303
2.79486,-1.15885,-0.0153631
2.72702,-1.47771,-0.0817884
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.22089,-2.62077,-0.16701
1.56166,-2.74397,0.106714
0.62458,-2.61565,0.215764
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.6703,-0.53609,-0.467816
-2.76295,0.16416,-0.505291
-4,4,-0.3
