planner,env_seed,run,seed,obstacle_seed,resample_attempt,success,total_time_s,total_length
RRTConnect,0,0,12345,0,0,1,0.005122,32.113992
PRMstar,0,0,12345,0,0,1,5.026661,29.144939
RRTstar,0,0,12345,0,0,1,5.023938,28.099785
BITstar,0,0,12345,0,0,1,4.256269,29.452175
RRTConnect,0,1,13345,0,0,1,0.005316,41.217847
PRMstar,0,1,13345,0,0,1,5.032354,29.457815
RRTstar,0,1,13345,0,0,1,5.030710,28.091338
BITstar,0,1,13345,0,0,1,4.062479,27.981703
RRTConnect,0,2,14345,0,0,1,0.010422,47.677745
PRMstar,0,2,14345,0,0,1,5.042670,28.996649
RRTstar,0,2,14345,0,0,1,5.038470,28.070680
BITstar,0,2,14345,0,0,1,4.105331,30.257684
RRTConnect,0,3,15345,0,0,1,0.006316,32.892685
PRMstar,0,3,15345,0,0,1,5.029130,28.320971
RRTstar,0,3,15345,0,0,1,5.026673,27.735496
BITstar,0,3,15345,0,0,1,4.029766,29.468084
RRTConnect,0,4,16345,0,0,1,0.004998,42.599975
PRMstar,0,4,16345,0,0,1,5.039661,30.120734
RRTstar,0,4,16345,0,0,1,5.033533,28.445865
BITstar,0,4,16345,0,0,1,4.025002,27.919340
RRTConnect,0,5,17345,0,0,1,0.003923,33.567304
PRMstar,0,5,17345,0,0,1,5.029205,28.799808
RRTstar,0,5,17345,0,0,1,5.035229,29.032143
BITstar,0,5,17345,0,0,1,4.018453,27.867936
RRTConnect,0,6,18345,0,0,1,0.003904,34.729088
PRMstar,0,6,18345,0,0,1,5.034165,28.298974
RRTstar,0,6,18345,0,0,1,5.037773,27.538955
BITstar,0,6,18345,0,0,1,4.087021,27.813845
RRTConnect,0,7,19345,0,0,1,0.006463,42.715240
PRMstar,0,7,19345,0,0,1,5.031765,28.087023
RRTstar,0,7,19345,0,0,1,5.029844,28.257574
BITstar,0,7,19345,0,0,1,4.078505,30.994523
RRTConnect,0,8,20345,0,0,1,0.006215,50.582617
PRMstar,0,8,20345,0,0,1,5.023651,28.069619
RRTstar,0,8,20345,0,0,1,5.026136,27.639224
BITstar,0,8,20345,0,0,1,4.041701,28.404346
RRTConnect,0,9,21345,0,0,1,0.008653,30.619056
PRMstar,0,9,21345,0,0,1,5.033043,27.916902
RRTstar,0,9,21345,0,0,1,5.037814,28.223422
BITstar,0,9,21345,0,0,1,4.073712,29.907473
RRTConnect,0,10,22345,0,0,1,0.004055,45.169127
PRMstar,0,10,22345,0,0,1,5.034383,28.931377
RRTstar,0,10,22345,0,0,1,5.026251,29.222095
BITstar,0,10,22345,0,0,1,4.059817,27.293014
RRTConnect,0,11,23345,0,0,1,0.003909,34.370425
PRMstar,0,11,23345,0,0,1,5.042781,28.783808
RRTstar,0,11,23345,0,0,1,5.038781,28.557468
BITstar,0,11,23345,0,0,1,4.028610,28.325183
RRTConnect,0,12,24345,0,0,1,0.003901,32.694620
PRMstar,0,12,24345,0,0,1,5.037243,29.606914
RRTstar,0,12,24345,0,0,1,5.025586,28.562717
BITstar,0,12,24345,0,0,1,4.044208,29.058804
RRTConnect,0,13,25345,0,0,1,0.003886,45.063474
PRMstar,0,13,25345,0,0,1,5.033558,28.754103
RRTstar,0,13,25345,0,0,1,5.033847,29.099026
BITstar,0,13,25345,0,0,1,4.109219,29.083917
RRTConnect,0,14,26345,0,0,1,0.004910,34.648092
PRMstar,0,14,26345,0,0,1,5.034506,27.947872
RRTstar,0,14,26345,0,0,1,5.026443,27.636272
BITstar,0,14,26345,0,0,1,4.106579,27.726603
RRTConnect,0,15,27345,0,0,1,0.006189,56.471606
PRMstar,0,15,27345,0,0,1,5.028749,28.328938
RRTstar,0,15,27345,0,0,1,5.026324,27.827255
BITstar,0,15,27345,0,0,1,4.077046,28.608356
RRTConnect,0,16,28345,0,0,1,0.005143,30.738237
PRMstar,0,16,28345,0,0,1,5.025011,27.389402
RRTstar,0,16,28345,0,0,1,5.025078,28.236273
BITstar,0,16,28345,0,0,1,4.050369,27.638942
RRTConnect,0,17,29345,0,0,1,0.004986,45.085903
PRMstar,0,17,29345,0,0,1,5.027526,29.027282
RRTstar,0,17,29345,0,0,1,5.034262,28.498055
BITstar,0,17,29345,0,0,1,4.046252,27.124376
RRTConnect,0,18,30345,0,0,1,0.004153,39.315504
PRMstar,0,18,30345,0,0,1,5.028463,28.015894
RRTstar,0,18,30345,0,0,1,5.027905,27.948530
BITstar,0,18,30345,0,0,1,4.081701,28.933227
RRTConnect,0,19,31345,0,0,1,0.005629,30.157006
PRMstar,0,19,31345,0,0,1,5.035353,31.005473
RRTstar,0,19,31345,0,0,1,5.033950,27.844898
BITstar,0,19,31345,0,0,1,4.165016,28.299970
RRTConnect,1,0,112345,1000000,0,1,0.004180,42.712273
PRMstar,1,0,112345,1000000,0,1,5.037998,29.031164
RRTstar,1,0,112345,1000000,0,1,5.021338,29.210424
BITstar,1,0,112345,1000000,0,1,4.090251,29.994764
RRTConnect,1,1,113345,1000000,0,1,0.007207,43.220348
PRMstar,1,1,113345,1000000,0,1,5.032465,29.328527
RRTstar,1,1,113345,1000000,0,1,5.026481,30.686635
BITstar,1,1,113345,1000000,0,1,4.048407,28.649231
RRTConnect,1,2,114345,1000000,0,1,0.006316,48.344388
PRMstar,1,2,114345,1000000,0,1,5.024477,30.268447
RRTstar,1,2,114345,1000000,0,1,5.031201,29.735708
BITstar,1,2,114345,1000000,0,1,4.079294,29.147930
RRTConnect,1,3,115345,1000000,0,1,0.005092,41.638678
PRMstar,1,3,115345,1000000,0,1,5.025226,29.098008
RRTstar,1,3,115345,1000000,0,1,5.024864,29.365100
BITstar,1,3,115345,1000000,0,1,4.069941,29.705710
RRTConnect,1,4,116345,1000000,0,1,0.006336,32.719031
PRMstar,1,4,116345,1000000,0,1,5.033249,28.609828
RRTstar,1,4,116345,1000000,0,1,5.032552,30.690288
BITstar,1,4,116345,1000000,0,1,4.066674,28.985729
RRTConnect,1,5,117345,1000000,0,1,0.006470,45.806436
PRMstar,1,5,117345,1000000,0,1,5.023730,29.765890
RRTstar,1,5,117345,1000000,0,1,5.027837,29.428967
BITstar,1,5,117345,1000000,0,1,4.034496,31.165729
RRTConnect,1,6,118345,1000000,0,1,0.005622,47.457266
PRMstar,1,6,118345,1000000,0,1,5.022480,28.017567
RRTstar,1,6,118345,1000000,0,1,5.034567,37.440487
BITstar,1,6,118345,1000000,0,1,4.024552,28.886038
RRTConnect,1,7,119345,1000000,0,1,0.005316,43.298023
